ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-02-22,198.77710869012512,170.62838803731017,219.1061494601108,198.77710869012512,198.77710869012512,-3.1776602460197463,-3.1776602460197463,-3.1776602460197463,-3.1776602460197463,-3.1776602460197463,-3.1776602460197463,0.0,0.0,0.0,195.59944844410538
2022-02-23,199.51112096044827,168.12715580252774,219.81360439885486,199.51112096044827,199.51112096044827,-5.286200794319121,-5.286200794319121,-5.286200794319121,-5.286200794319121,-5.286200794319121,-5.286200794319121,0.0,0.0,0.0,194.22492016612915
2022-02-24,200.24513323077144,171.3590880599354,220.4340484239386,200.24513323077144,200.24513323077144,-4.984967064002954,-4.984967064002954,-4.984967064002954,-4.984967064002954,-4.984967064002954,-4.984967064002954,0.0,0.0,0.0,195.2601661667685
2022-02-25,200.97914550109456,173.54218073829972,222.55016748727874,200.97914550109456,200.97914550109456,-3.289668485467229,-3.289668485467229,-3.289668485467229,-3.289668485467229,-3.289668485467229,-3.289668485467229,0.0,0.0,0.0,197.68947701562735
2022-02-28,203.18118231206404,177.83615311312533,226.69995599414074,203.18118231206404,203.18118231206404,-2.742626234988324,-2.742626234988324,-2.742626234988324,-2.742626234988324,-2.742626234988324,-2.742626234988324,0.0,0.0,0.0,200.4385560770757
2022-03-01,203.91519459047518,177.95534768073182,226.5564818760824,203.91519459047518,203.91519459047518,-3.177660246022261,-3.177660246022261,-3.177660246022261,-3.177660246022261,-3.177660246022261,-3.177660246022261,0.0,0.0,0.0,200.7375343444529
2022-03-02,204.64920686888632,174.18011328397174,223.44056749462078,204.64920686888632,204.64920686888632,-5.286200794319154,-5.286200794319154,-5.286200794319154,-5.286200794319154,-5.286200794319154,-5.286200794319154,0.0,0.0,0.0,199.36300607456718
2022-03-03,205.3832191472975,178.00646090009732,225.09852893376797,205.3832191472975,205.3832191472975,-4.984967063998163,-4.984967063998163,-4.984967063998163,-4.984967063998163,-4.984967063998163,-4.984967063998163,0.0,0.0,0.0,200.39825208329933
2022-03-04,206.1172314257086,176.66021889508914,228.94646577093425,206.1172314257086,206.1172314257086,-3.2896684854570917,-3.2896684854570917,-3.2896684854570917,-3.2896684854570917,-3.2896684854570917,-3.2896684854570917,0.0,0.0,0.0,202.8275629402515
2022-03-07,208.31926826094207,180.93635367377362,229.68105372265234,208.31926826094207,208.31926826094207,-2.742626234987715,-2.742626234987715,-2.742626234987715,-2.742626234987715,-2.742626234987715,-2.742626234987715,0.0,0.0,0.0,205.57664202595436
2022-03-08,209.0532805393532,180.54486075867553,228.58710188231117,209.0532805393532,209.0532805393532,-3.1776602460200065,-3.1776602460200065,-3.1776602460200065,-3.1776602460200065,-3.1776602460200065,-3.1776602460200065,0.0,0.0,0.0,205.8756202933332
2022-03-09,209.78729281776435,179.74012372606296,228.36970765255631,209.78729281776435,209.78729281776435,-5.2862007943154765,-5.2862007943154765,-5.2862007943154765,-5.2862007943154765,-5.2862007943154765,-5.2862007943154765,0.0,0.0,0.0,204.50109202344888
2022-03-10,210.52130509617555,180.92598391522873,229.05357694041314,210.52130509617555,210.52130509617555,-4.98496706399482,-4.98496706399482,-4.98496706399482,-4.98496706399482,-4.98496706399482,-4.98496706399482,0.0,0.0,0.0,205.53633803218074
2022-03-11,211.25531733157075,184.37802852911116,232.62265641847347,211.25531733157075,211.25531733157075,-3.2896684854469536,-3.2896684854469536,-3.2896684854469536,-3.2896684854469536,-3.2896684854469536,-3.2896684854469536,0.0,0.0,0.0,207.9656488461238
2022-03-14,213.45735403775635,186.9000969001812,235.44348734299984,213.45735403775635,213.45735403775635,-2.74262623496008,-2.74262623496008,-2.74262623496008,-2.74262623496008,-2.74262623496008,-2.74262623496008,0.0,0.0,0.0,210.71472780279626
2022-03-15,214.19136627315154,186.3517906096591,234.23956622657093,214.19136627315154,214.19136627315154,-3.177660246017752,-3.177660246017752,-3.177660246017752,-3.177660246017752,-3.177660246017752,-3.177660246017752,0.0,0.0,0.0,211.0137060271338
2022-03-16,214.92537850854677,186.20804204913082,235.11378166402898,214.92537850854677,214.92537850854677,-5.28620079431625,-5.28620079431625,-5.28620079431625,-5.28620079431625,-5.28620079431625,-5.28620079431625,0.0,0.0,0.0,209.63917771423053
2022-03-17,215.65939074394197,185.8825765332234,234.32682115120434,215.65939074394197,215.65939074394197,-4.984967064003685,-4.984967064003685,-4.984967064003685,-4.984967064003685,-4.984967064003685,-4.984967064003685,0.0,0.0,0.0,210.6744236799383
2022-03-18,216.39340297933717,188.0502401723954,238.56415763573233,216.39340297933717,216.39340297933717,-3.289668485447074,-3.289668485447074,-3.289668485447074,-3.289668485447074,-3.289668485447074,-3.289668485447074,0.0,0.0,0.0,213.1037344938901
2022-03-21,218.5954396855228,189.21712157743426,241.28834053925078,218.5954396855228,218.5954396855228,-2.7426262349688075,-2.7426262349688075,-2.7426262349688075,-2.7426262349688075,-2.7426262349688075,-2.7426262349688075,0.0,0.0,0.0,215.85281345055398
2022-03-22,219.329451920918,191.8848715217619,239.9660263254363,219.329451920918,219.329451920918,-3.1776602460154963,-3.1776602460154963,-3.1776602460154963,-3.1776602460154963,-3.1776602460154963,-3.1776602460154963,0.0,0.0,0.0,216.15179167490248
2022-03-23,220.06346415811313,189.71284034520733,239.62745293743865,220.06346415811313,220.06346415811313,-5.286200794317765,-5.286200794317765,-5.286200794317765,-5.286200794317765,-5.286200794317765,-5.286200794317765,0.0,0.0,0.0,214.77726336379536
2022-03-24,220.79747639530825,191.80795547823402,241.19179802143674,220.79747639530825,220.79747639530825,-4.984967064000342,-4.984967064000342,-4.984967064000342,-4.984967064000342,-4.984967064000342,-4.984967064000342,0.0,0.0,0.0,215.81250933130792
2022-03-25,221.5314886325034,194.25738277918396,244.04082588869093,221.5314886325034,221.5314886325034,-3.289668485479909,-3.289668485479909,-3.289668485479909,-3.289668485479909,-3.289668485479909,-3.289668485479909,0.0,0.0,0.0,218.24182014702347
2022-03-28,223.7335253440888,196.2407111438242,244.65469166503289,223.7335253440888,223.7335253440888,-2.7426262349775357,-2.7426262349775357,-2.7426262349775357,-2.7426262349775357,-2.7426262349775357,-2.7426262349775357,0.0,0.0,0.0,220.99089910911127
2022-03-29,224.46753758128395,198.0622251531206,244.74244815312258,224.46753758128395,224.46753758128395,-3.177660246018011,-3.177660246018011,-3.177660246018011,-3.177660246018011,-3.177660246018011,-3.177660246018011,0.0,0.0,0.0,221.28987733526594
